Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:59 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  718: out_BUS16_S2_T2: got 0474, expected 0000
mismatch cycle  718: out_BUS16_S3_T1: got 0474, expected 0000
mismatch cycle  718: out_BUS16_S3_T2: got 0474, expected 0000
mismatch cycle  718: out_BUS16_S3_T3: got 0474, expected 0000
mismatch cycle  718: out_BUS16_S3_T4: got 0474, expected 0000
mismatch cycle  720: out_BUS16_S2_T2: got 0498, expected 0474
mismatch cycle  720: out_BUS16_S3_T1: got 0498, expected 0474
mismatch cycle  720: out_BUS16_S3_T2: got 0498, expected 0474
mismatch cycle  720: out_BUS16_S3_T3: got 0498, expected 0474
mismatch cycle  720: out_BUS16_S3_T4: got 0498, expected 0474
mismatch cycle  721: out_BUS16_S2_T2: got 042c, expected 0498
mismatch cycle  721: out_BUS16_S3_T1: got 042c, expected 0498
mismatch cycle  721: out_BUS16_S3_T2: got 042c, expected 0498
mismatch cycle  721: out_BUS16_S3_T3: got 042c, expected 0498
mismatch cycle  721: out_BUS16_S3_T4: got 042c, expected 0498
mismatch cycle  722: out_BUS16_S2_T2: got 0498, expected 042c
mismatch cycle  722: out_BUS16_S3_T1: got 0498, expected 042c
mismatch cycle  722: out_BUS16_S3_T2: got 0498, expected 042c
mismatch cycle  722: out_BUS16_S3_T3: got 0498, expected 042c
mismatch cycle  722: out_BUS16_S3_T4: got 0498, expected 042c
mismatch cycle  723: out_BUS16_S2_T2: got 04d4, expected 0498
mismatch cycle  723: out_BUS16_S3_T1: got 04d4, expected 0498
mismatch cycle  723: out_BUS16_S3_T2: got 04d4, expected 0498
mismatch cycle  723: out_BUS16_S3_T3: got 04d4, expected 0498
mismatch cycle  723: out_BUS16_S3_T4: got 04d4, expected 0498
mismatch cycle  724: out_BUS16_S2_T2: got 0474, expected 04d4
mismatch cycle  724: out_BUS16_S3_T1: got 0474, expected 04d4
mismatch cycle  724: out_BUS16_S3_T2: got 0474, expected 04d4
mismatch cycle  724: out_BUS16_S3_T3: got 0474, expected 04d4
mismatch cycle  724: out_BUS16_S3_T4: got 0474, expected 04d4
mismatch cycle  725: out_BUS16_S2_T2: got 048c, expected 0474
mismatch cycle  725: out_BUS16_S3_T1: got 048c, expected 0474
mismatch cycle  725: out_BUS16_S3_T2: got 048c, expected 0474
mismatch cycle  725: out_BUS16_S3_T3: got 048c, expected 0474
mismatch cycle  725: out_BUS16_S3_T4: got 048c, expected 0474
mismatch cycle  726: out_BUS16_S2_T2: got 045c, expected 048c
mismatch cycle  726: out_BUS16_S3_T1: got 045c, expected 048c
mismatch cycle  726: out_BUS16_S3_T2: got 045c, expected 048c
mismatch cycle  726: out_BUS16_S3_T3: got 045c, expected 048c
mismatch cycle  726: out_BUS16_S3_T4: got 045c, expected 048c
mismatch cycle  727: out_BUS16_S2_T2: got 0450, expected 045c
mismatch cycle  727: out_BUS16_S3_T1: got 0450, expected 045c
mismatch cycle  727: out_BUS16_S3_T2: got 0450, expected 045c
mismatch cycle  727: out_BUS16_S3_T3: got 0450, expected 045c
mismatch cycle  727: out_BUS16_S3_T4: got 0450, expected 045c
mismatch cycle  728: out_BUS16_S2_T2: got 0438, expected 0450
mismatch cycle  728: out_BUS16_S3_T1: got 0438, expected 0450
mismatch cycle  728: out_BUS16_S3_T2: got 0438, expected 0450
mismatch cycle  728: out_BUS16_S3_T3: got 0438, expected 0450
