Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 01:00 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  804: out_BUS16_S3_T4: got 03bd, expected 03e9
mismatch cycle  805: out_BUS16_S1_T2: got 037b, expected 03bd
mismatch cycle  805: out_BUS16_S3_T1: got 037b, expected 03bd
mismatch cycle  805: out_BUS16_S3_T2: got 037b, expected 03bd
mismatch cycle  805: out_BUS16_S3_T3: got 037b, expected 03bd
mismatch cycle  805: out_BUS16_S3_T4: got 037b, expected 03bd
mismatch cycle  806: out_BUS16_S1_T2: got 0420, expected 037b
mismatch cycle  806: out_BUS16_S3_T1: got 0420, expected 037b
mismatch cycle  806: out_BUS16_S3_T2: got 0420, expected 037b
mismatch cycle  806: out_BUS16_S3_T3: got 0420, expected 037b
mismatch cycle  806: out_BUS16_S3_T4: got 0420, expected 037b
mismatch cycle  807: out_BUS16_S1_T2: got 03c8, expected 0420
mismatch cycle  807: out_BUS16_S3_T1: got 03c8, expected 0420
mismatch cycle  807: out_BUS16_S3_T2: got 03c8, expected 0420
mismatch cycle  807: out_BUS16_S3_T3: got 03c8, expected 0420
mismatch cycle  807: out_BUS16_S3_T4: got 03c8, expected 0420
mismatch cycle  808: out_BUS16_S1_T2: got 03e9, expected 03c8
mismatch cycle  808: out_BUS16_S3_T1: got 03e9, expected 03c8
mismatch cycle  808: out_BUS16_S3_T2: got 03e9, expected 03c8
mismatch cycle  808: out_BUS16_S3_T3: got 03e9, expected 03c8
mismatch cycle  808: out_BUS16_S3_T4: got 03e9, expected 03c8
mismatch cycle  809: out_BUS16_S1_T2: got 03b2, expected 03e9
mismatch cycle  809: out_BUS16_S3_T1: got 03b2, expected 03e9
mismatch cycle  809: out_BUS16_S3_T2: got 03b2, expected 03e9
mismatch cycle  809: out_BUS16_S3_T3: got 03b2, expected 03e9
mismatch cycle  809: out_BUS16_S3_T4: got 03b2, expected 03e9
mismatch cycle  810: out_BUS16_S1_T2: got 0391, expected 03b2
mismatch cycle  810: out_BUS16_S3_T1: got 0391, expected 03b2
mismatch cycle  810: out_BUS16_S3_T2: got 0391, expected 03b2
mismatch cycle  810: out_BUS16_S3_T3: got 0391, expected 03b2
mismatch cycle  810: out_BUS16_S3_T4: got 0391, expected 03b2
mismatch cycle  811: out_BUS16_S1_T2: got 0370, expected 0391
mismatch cycle  811: out_BUS16_S3_T1: got 0370, expected 0391
mismatch cycle  811: out_BUS16_S3_T2: got 0370, expected 0391
mismatch cycle  811: out_BUS16_S3_T3: got 0370, expected 0391
mismatch cycle  811: out_BUS16_S3_T4: got 0370, expected 0391
mismatch cycle  812: out_BUS16_S1_T2: got 03e9, expected 0370
mismatch cycle  812: out_BUS16_S3_T1: got 03e9, expected 0370
mismatch cycle  812: out_BUS16_S3_T2: got 03e9, expected 0370
mismatch cycle  812: out_BUS16_S3_T3: got 03e9, expected 0370
mismatch cycle  812: out_BUS16_S3_T4: got 03e9, expected 0370
mismatch cycle  814: out_BUS16_S1_T2: got 037b, expected 03e9
mismatch cycle  814: out_BUS16_S3_T1: got 037b, expected 03e9
mismatch cycle  814: out_BUS16_S3_T2: got 037b, expected 03e9
mismatch cycle  814: out_BUS16_S3_T3: got 037b, expected 03e9
mismatch cycle  814: out_BUS16_S3_T4: got 037b, expected 03e9
mismatch cycle  815: out_BUS16_S1_T2: got 0391, expected 037b
mismatch cycle  815: out_BUS16_S3_T1: got 0391, expected 037b
mismatch cycle  815: out_BUS16_S3_T2: got 0391, expected 037b
mismatch cycle  815: out_BUS16_S3_T3: got 0391, expected 037b
mismatch cycle  815: out_BUS16_S3_T4: got 0391, expected 037b
mismatch cycle  816: out_BUS16_S1_T2: got 03bd, expected 0391
mismatch cycle  816: out_BUS16_S3_T1: got 03bd, expected 0391
mismatch cycle  816: out_BUS16_S3_T2: got 03bd, expected 0391
mismatch cycle  816: out_BUS16_S3_T3: got 03bd, expected 0391
mismatch cycle  816: out_BUS16_S3_T4: got 03bd, expected 0391
mismatch cycle  817: out_BUS16_S1_T2: got 039c, expected 03bd
mismatch cycle  817: out_BUS16_S3_T1: got 039c, expected 03bd
mismatch cycle  817: out_BUS16_S3_T2: got 039c, expected 03bd
mismatch cycle  817: out_BUS16_S3_T3: got 039c, expected 03bd
mismatch cycle  817: out_BUS16_S3_T4: got 039c, expected 03bd
mismatch cycle  818: out_BUS16_S1_T2: got 0391, expected 039c
mismatch cycle  818: out_BUS16_S3_T1: got 0391, expected 039c
mismatch cycle  818: out_BUS16_S3_T2: got 0391, expected 039c
mismatch cycle  818: out_BUS16_S3_T3: got 0391, expected 039c
mismatch cycle  818: out_BUS16_S3_T4: got 0391, expected 039c
mismatch cycle  819: out_BUS16_S1_T2: got 03a7, expected 0391
mismatch cycle  819: out_BUS16_S3_T1: got 03a7, expected 0391
mismatch cycle  819: out_BUS16_S3_T2: got 03a7, expected 0391
mismatch cycle  819: out_BUS16_S3_T3: got 03a7, expected 0391
mismatch cycle  819: out_BUS16_S3_T4: got 03a7, expected 0391
mismatch cycle  820: out_BUS16_S1_T2: got 03c8, expected 03a7
mismatch cycle  820: out_BUS16_S3_T1: got 03c8, expected 03a7
mismatch cycle  820: out_BUS16_S3_T2: got 03c8, expected 03a7
mismatch cycle  820: out_BUS16_S3_T3: got 03c8, expected 03a7
mismatch cycle  820: out_BUS16_S3_T4: got 03c8, expected 03a7
mismatch cycle  821: out_BUS16_S1_T2: got 039c, expected 03c8
mismatch cycle  821: out_BUS16_S3_T1: got 039c, expected 03c8
mismatch cycle  821: out_BUS16_S3_T2: got 039c, expected 03c8
mismatch cycle  821: out_BUS16_S3_T3: got 039c, expected 03c8
mismatch cycle  821: out_BUS16_S3_T4: got 039c, expected 03c8
mismatch cycle  822: out_BUS16_S1_T2: got 03e9, expected 039c
mismatch cycle  822: out_BUS16_S3_T1: got 03e9, expected 039c
mismatch cycle  822: out_BUS16_S3_T2: got 03e9, expected 039c
mismatch cycle  822: out_BUS16_S3_T3: got 03e9, expected 039c
mismatch cycle  822: out_BUS16_S3_T4: got 03e9, expected 039c
mismatch cycle  824: out_BUS16_S1_T2: got 03b2, expected 03e9
mismatch cycle  824: out_BUS16_S3_T1: got 03b2, expected 03e9
mismatch cycle  824: out_BUS16_S3_T2: got 03b2, expected 03e9
mismatch cycle  824: out_BUS16_S3_T3: got 03b2, expected 03e9
mismatch cycle  824: out_BUS16_S3_T4: got 03b2, expected 03e9
mismatch cycle  825: out_BUS16_S1_T2: got 03d3, expected 03b2
mismatch cycle  825: out_BUS16_S3_T1: got 03d3, expected 03b2
mismatch cycle  825: out_BUS16_S3_T2: got 03d3, expected 03b2
mismatch cycle  825: out_BUS16_S3_T3: got 03d3, expected 03b2
mismatch cycle  825: out_BUS16_S3_T4: got 03d3, expected 03b2
mismatch cycle  826: out_BUS16_S1_T2: got 03f4, expected 03d3
mismatch cycle  826: out_BUS16_S3_T1: got 03f4, expected 03d3
mismatch cycle  826: out_BUS16_S3_T2: got 03f4, expected 03d3
mismatch cycle  826: out_BUS16_S3_T3: got 03f4, expected 03d3
mismatch cycle  826: out_BUS16_S3_T4: got 03f4, expected 03d3
mismatch cycle  828: out_BUS16_S1_T2: got 0436, expected 03f4
mismatch cycle  828: out_BUS16_S3_T1: got 0436, expected 03f4
mismatch cycle  828: out_BUS16_S3_T2: got 0436, expected 03f4
mismatch cycle  828: out_BUS16_S3_T3: got 0436, expected 03f4
mismatch cycle  828: out_BUS16_S3_T4: got 0436, expected 03f4
mismatch cycle  829: out_BUS16_S1_T2: got 03c8, expected 0436
mismatch cycle  829: out_BUS16_S3_T1: got 03c8, expected 0436
mismatch cycle  829: out_BUS16_S3_T2: got 03c8, expected 0436
mismatch cycle  829: out_BUS16_S3_T3: got 03c8, expected 0436
mismatch cycle  829: out_BUS16_S3_T4: got 03c8, expected 0436
mismatch cycle  830: out_BUS16_S1_T2: got 03de, expected 03c8
mismatch cycle  830: out_BUS16_S3_T1: got 03de, expected 03c8
mismatch cycle  830: out_BUS16_S3_T2: got 03de, expected 03c8
mismatch cycle  830: out_BUS16_S3_T3: got 03de, expected 03c8
mismatch cycle  830: out_BUS16_S3_T4: got 03de, expected 03c8
mismatch cycle  831: out_BUS16_S1_T2: got 0436, expected 03de
mismatch cycle  831: out_BUS16_S3_T1: got 0436, expected 03de
mismatch cycle  831: out_BUS16_S3_T2: got 0436, expected 03de
mismatch cycle  831: out_BUS16_S3_T3: got 0436, expected 03de
mismatch cycle  831: out_BUS16_S3_T4: got 0436, expected 03de
mismatch cycle  832: out_BUS16_S1_T2: got 03ff, expected 0436
mismatch cycle  832: out_BUS16_S3_T1: got 03ff, expected 0436
mismatch cycle  832: out_BUS16_S3_T2: got 03ff, expected 0436
mismatch cycle  832: out_BUS16_S3_T3: got 03ff, expected 0436
mismatch cycle  832: out_BUS16_S3_T4: got 03ff, expected 0436
mismatch cycle  833: out_BUS16_S1_T2: got 03d3, expected 03ff
mismatch cycle  833: out_BUS16_S3_T1: got 03d3, expected 03ff
mismatch cycle  833: out_BUS16_S3_T2: got 03d3, expected 03ff
mismatch cycle  833: out_BUS16_S3_T3: got 03d3, expected 03ff
mismatch cycle  833: out_BUS16_S3_T4: got 03d3, expected 03ff
mismatch cycle  834: out_BUS16_S1_T2: got 03ff, expected 03d3
mismatch cycle  834: out_BUS16_S3_T1: got 03ff, expected 03d3
mismatch cycle  834: out_BUS16_S3_T2: got 03ff, expected 03d3
mismatch cycle  834: out_BUS16_S3_T3: got 03ff, expected 03d3
mismatch cycle  834: out_BUS16_S3_T4: got 03ff, expected 03d3
mismatch cycle  835: out_BUS16_S1_T2: got 0436, expected 03ff
mismatch cycle  835: out_BUS16_S3_T1: got 0436, expected 03ff
mismatch cycle  835: out_BUS16_S3_T2: got 0436, expected 03ff
mismatch cycle  835: out_BUS16_S3_T3: got 0436, expected 03ff
mismatch cycle  835: out_BUS16_S3_T4: got 0436, expected 03ff
mismatch cycle  836: out_BUS16_S1_T2: got 042b, expected 0436
mismatch cycle  836: out_BUS16_S3_T1: got 042b, expected 0436
mismatch cycle  836: out_BUS16_S3_T2: got 042b, expected 0436
mismatch cycle  836: out_BUS16_S3_T3: got 042b, expected 0436
mismatch cycle  836: out_BUS16_S3_T4: got 042b, expected 0436
mismatch cycle  837: out_BUS16_S1_T2: got 0436, expected 042b
mismatch cycle  837: out_BUS16_S3_T1: got 0436, expected 042b
mismatch cycle  837: out_BUS16_S3_T2: got 0436, expected 042b
mismatch cycle  837: out_BUS16_S3_T3: got 0436, expected 042b
mismatch cycle  837: out_BUS16_S3_T4: got 0436, expected 042b
mismatch cycle  838: out_BUS16_S1_T2: got 0457, expected 0436
mismatch cycle  838: out_BUS16_S3_T1: got 0457, expected 0436
mismatch cycle  838: out_BUS16_S3_T2: got 0457, expected 0436
mismatch cycle  838: out_BUS16_S3_T3: got 0457, expected 0436
mismatch cycle  838: out_BUS16_S3_T4: got 0457, expected 0436
mismatch cycle  839: out_BUS16_S1_T2: got 042b, expected 0457
mismatch cycle  839: out_BUS16_S3_T1: got 042b, expected 0457
mismatch cycle  839: out_BUS16_S3_T2: got 042b, expected 0457
mismatch cycle  839: out_BUS16_S3_T3: got 042b, expected 0457
mismatch cycle  839: out_BUS16_S3_T4: got 042b, expected 0457
mismatch cycle  840: out_BUS16_S1_T2: got 040a, expected 042b
mismatch cycle  840: out_BUS16_S3_T1: got 040a, expected 042b
mismatch cycle  840: out_BUS16_S3_T2: got 040a, expected 042b
mismatch cycle  840: out_BUS16_S3_T3: got 040a, expected 042b
mismatch cycle  840: out_BUS16_S3_T4: got 040a, expected 042b
mismatch cycle  841: out_BUS16_S1_T2: got 03f4, expected 040a
mismatch cycle  841: out_BUS16_S3_T1: got 03f4, expected 040a
mismatch cycle  841: out_BUS16_S3_T2: got 03f4, expected 040a
mismatch cycle  841: out_BUS16_S3_T3: got 03f4, expected 040a
mismatch cycle  841: out_BUS16_S3_T4: got 03f4, expected 040a
mismatch cycle  842: out_BUS16_S1_T2: got 040a, expected 03f4
mismatch cycle  842: out_BUS16_S3_T1: got 040a, expected 03f4
mismatch cycle  842: out_BUS16_S3_T2: got 040a, expected 03f4
mismatch cycle  842: out_BUS16_S3_T3: got 040a, expected 03f4
mismatch cycle  842: out_BUS16_S3_T4: got 040a, expected 03f4
mismatch cycle  843: out_BUS16_S1_T2: got 03e9, expected 040a
mismatch cycle  843: out_BUS16_S3_T1: got 03e9, expected 040a
mismatch cycle  843: out_BUS16_S3_T2: got 03e9, expected 040a
mismatch cycle  843: out_BUS16_S3_T3: got 03e9, expected 040a
mismatch cycle  843: out_BUS16_S3_T4: got 03e9, expected 040a
mismatch cycle  844: out_BUS16_S1_T2: got 040a, expected 03e9
mismatch cycle  844: out_BUS16_S3_T1: got 040a, expected 03e9
mismatch cycle  844: out_BUS16_S3_T2: got 040a, expected 03e9
mismatch cycle  844: out_BUS16_S3_T3: got 040a, expected 03e9
mismatch cycle  844: out_BUS16_S3_T4: got 040a, expected 03e9
mismatch cycle  845: out_BUS16_S1_T2: got 03ff, expected 040a
mismatch cycle  845: out_BUS16_S3_T1: got 03ff, expected 040a
mismatch cycle  845: out_BUS16_S3_T2: got 03ff, expected 040a
mismatch cycle  845: out_BUS16_S3_T3: got 03ff, expected 040a
mismatch cycle  845: out_BUS16_S3_T4: got 03ff, expected 040a
mismatch cycle  846: out_BUS16_S1_T2: got 03e9, expected 03ff
mismatch cycle  846: out_BUS16_S3_T1: got 03e9, expected 03ff
mismatch cycle  846: out_BUS16_S3_T2: got 03e9, expected 03ff
mismatch cycle  846: out_BUS16_S3_T3: got 03e9, expected 03ff
mismatch cycle  846: out_BUS16_S3_T4: got 03e9, expected 03ff
mismatch cycle  847: out_BUS16_S1_T2: got 03de, expected 03e9
mismatch cycle  847: out_BUS16_S3_T1: got 03de, expected 03e9
mismatch cycle  847: out_BUS16_S3_T2: got 03de, expected 03e9
mismatch cycle  847: out_BUS16_S3_T3: got 03de, expected 03e9
mismatch cycle  847: out_BUS16_S3_T4: got 03de, expected 03e9
mismatch cycle  849: out_BUS16_S1_T2: got 0436, expected 03de
mismatch cycle  849: out_BUS16_S3_T1: got 0436, expected 03de
mismatch cycle  849: out_BUS16_S3_T2: got 0436, expected 03de
mismatch cycle  849: out_BUS16_S3_T3: got 0436, expected 03de
mismatch cycle  849: out_BUS16_S3_T4: got 0436, expected 03de
mismatch cycle  850: out_BUS16_S1_T2: got 0415, expected 0436
mismatch cycle  850: out_BUS16_S3_T1: got 0415, expected 0436
mismatch cycle  850: out_BUS16_S3_T2: got 0415, expected 0436
