Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:58 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  668: out_BUS16_S3_T3: got 046b, expected 049f
mismatch cycle  668: out_BUS16_S3_T4: got 046b, expected 049f
mismatch cycle  669: out_BUS16_S1_T1: got 041d, expected 046b
mismatch cycle  669: out_BUS16_S3_T1: got 041d, expected 046b
mismatch cycle  669: out_BUS16_S3_T2: got 041d, expected 046b
mismatch cycle  669: out_BUS16_S3_T3: got 041d, expected 046b
mismatch cycle  669: out_BUS16_S3_T4: got 041d, expected 046b
mismatch cycle  670: out_BUS16_S1_T1: got 04e0, expected 041d
mismatch cycle  670: out_BUS16_S3_T1: got 04e0, expected 041d
mismatch cycle  670: out_BUS16_S3_T2: got 04e0, expected 041d
mismatch cycle  670: out_BUS16_S3_T3: got 04e0, expected 041d
mismatch cycle  670: out_BUS16_S3_T4: got 04e0, expected 041d
mismatch cycle  671: out_BUS16_S1_T1: got 0478, expected 04e0
mismatch cycle  671: out_BUS16_S3_T1: got 0478, expected 04e0
mismatch cycle  671: out_BUS16_S3_T2: got 0478, expected 04e0
mismatch cycle  671: out_BUS16_S3_T3: got 0478, expected 04e0
mismatch cycle  671: out_BUS16_S3_T4: got 0478, expected 04e0
mismatch cycle  672: out_BUS16_S1_T1: got 049f, expected 0478
mismatch cycle  672: out_BUS16_S3_T1: got 049f, expected 0478
mismatch cycle  672: out_BUS16_S3_T2: got 049f, expected 0478
mismatch cycle  672: out_BUS16_S3_T3: got 049f, expected 0478
mismatch cycle  672: out_BUS16_S3_T4: got 049f, expected 0478
mismatch cycle  673: out_BUS16_S1_T1: got 045e, expected 049f
mismatch cycle  673: out_BUS16_S3_T1: got 045e, expected 049f
mismatch cycle  673: out_BUS16_S3_T2: got 045e, expected 049f
mismatch cycle  673: out_BUS16_S3_T3: got 045e, expected 049f
mismatch cycle  673: out_BUS16_S3_T4: got 045e, expected 049f
mismatch cycle  674: out_BUS16_S1_T1: got 0437, expected 045e
mismatch cycle  674: out_BUS16_S3_T1: got 0437, expected 045e
mismatch cycle  674: out_BUS16_S3_T2: got 0437, expected 045e
mismatch cycle  674: out_BUS16_S3_T3: got 0437, expected 045e
mismatch cycle  674: out_BUS16_S3_T4: got 0437, expected 045e
mismatch cycle  675: out_BUS16_S1_T1: got 0410, expected 0437
mismatch cycle  675: out_BUS16_S3_T1: got 0410, expected 0437
mismatch cycle  675: out_BUS16_S3_T2: got 0410, expected 0437
mismatch cycle  675: out_BUS16_S3_T3: got 0410, expected 0437
mismatch cycle  675: out_BUS16_S3_T4: got 0410, expected 0437
mismatch cycle  676: out_BUS16_S1_T1: got 049f, expected 0410
mismatch cycle  676: out_BUS16_S3_T1: got 049f, expected 0410
mismatch cycle  676: out_BUS16_S3_T2: got 049f, expected 0410
mismatch cycle  676: out_BUS16_S3_T3: got 049f, expected 0410
mismatch cycle  676: out_BUS16_S3_T4: got 049f, expected 0410
mismatch cycle  678: out_BUS16_S1_T1: got 041d, expected 049f
mismatch cycle  678: out_BUS16_S3_T1: got 041d, expected 049f
mismatch cycle  678: out_BUS16_S3_T2: got 041d, expected 049f
mismatch cycle  678: out_BUS16_S3_T3: got 041d, expected 049f
mismatch cycle  678: out_BUS16_S3_T4: got 041d, expected 049f
mismatch cycle  679: out_BUS16_S1_T1: got 0437, expected 041d
mismatch cycle  679: out_BUS16_S3_T1: got 0437, expected 041d
mismatch cycle  679: out_BUS16_S3_T2: got 0437, expected 041d
mismatch cycle  679: out_BUS16_S3_T3: got 0437, expected 041d
mismatch cycle  679: out_BUS16_S3_T4: got 0437, expected 041d
mismatch cycle  680: out_BUS16_S1_T1: got 046b, expected 0437
mismatch cycle  680: out_BUS16_S3_T1: got 046b, expected 0437
mismatch cycle  680: out_BUS16_S3_T2: got 046b, expected 0437
mismatch cycle  680: out_BUS16_S3_T3: got 046b, expected 0437
mismatch cycle  680: out_BUS16_S3_T4: got 046b, expected 0437
mismatch cycle  681: out_BUS16_S1_T1: got 0444, expected 046b
mismatch cycle  681: out_BUS16_S3_T1: got 0444, expected 046b
mismatch cycle  681: out_BUS16_S3_T2: got 0444, expected 046b
mismatch cycle  681: out_BUS16_S3_T3: got 0444, expected 046b
mismatch cycle  681: out_BUS16_S3_T4: got 0444, expected 046b
mismatch cycle  682: out_BUS16_S1_T1: got 0437, expected 0444
